Year,blueline1,blueline2,blueline3,blueline4,blueline5,blueline6,redline1,redline2,redline3,redline4,redline5,redline6,Precipitation,Temperature,BW,GW,Region,Scenario
2076,84.74294872,59.06544872,84.68888889,51.04025641,92.5325,48.53438034,19.41283526,18.65284188,17.76484637,19.5192156,17.00273184,19.41297799,48.53438034,19.41297799,9.187787179,51.19959872,1Crop Lands,CNRM-SSP126
2077,81.21794872,67.20252137,94.14038462,106.808141,80.18264957,110.5760043,18.21885513,17.47134145,16.64970684,17.50147457,19.17895513,16.9476156,110.5760043,16.9476156,17.07231581,78.21054551,1Crop Lands,CNRM-SSP126
2078,60.17027778,63.54320513,46.54059829,42.67974359,48.72324786,93.98989316,19.24716261,18.416175,18.68791068,20.05731645,18.41133504,17.4970265,93.98989316,17.4970265,13.91755534,71.84548611,1Crop Lands,CNRM-SSP126
2079,74.30235043,47.13070513,72.33901709,55.68942308,75.11418803,43.52331197,20.0093938,19.1507797,18.12639402,19.59195662,16.78393739,19.02679637,43.52331197,19.02679637,6.343617735,52.38699509,1Crop Lands,CNRM-SSP126
2080,84.39123932,79.79647436,84.62811966,55.185,61.7842735,40.85884615,17.57690983,18.4569109,17.84123376,19.50418632,17.6946297,19.15758825,40.85884615,19.15758825,3.505199573,43.46726239,1Crop Lands,CNRM-SSP126
2081,76.84532051,95.85886752,74.70096154,100.7694658,72.2657265,33.16534188,18.52900342,16.9231812,16.91274701,17.08693739,17.39658034,19.79740684,33.16534188,19.79740684,2.443835897,34.60253974,1Crop Lands,CNRM-SSP126
2082,64.20965812,91.50679487,73.75615385,99.12271368,98.6499359,91.22645299,18.25917009,18.38656068,19.58805385,17.24131944,16.05840748,16.95040556,91.22645299,16.95040556,11.04405726,70.576,1Crop Lands,CNRM-SSP126
2083,78.7049359,80.61801282,81.05405983,61.42574786,55.47933761,67.39970085,18.6300735,17.95157158,18.17246303,18.62826197,17.63830342,18.87115214,67.39970085,18.87115214,7.296388462,58.5758609,1Crop Lands,CNRM-SSP126
2084,110.918953,78.28367521,81.8066453,124.1436752,46.2925,26.10967949,17.87151966,17.13974124,16.96766239,19.17894786,19.01910791,21.03182393,26.10967949,21.03182393,2.766129701,37.63337842,1Crop Lands,CNRM-SSP126
2085,71.76230769,74.38393162,69.9159188,96.3640812,62.68681624,31.90615385,16.86456709,18.49557222,17.47875513,19.25715385,16.53224017,19.83430278,31.90615385,19.83430278,4.080622863,40.7765391,1Crop Lands,CNRM-SSP126
